codigo_ibge,nome,latitude,longitude
3539400,Piratininga,-22.4142,-49.1339
3539509,Pitangueiras,-21.0132,-48.221
3539608,Planalto,-21.0342,-49.933
3539707,Platina,-22.6371,-50.2104
3539905,Poloni,-20.7829,-49.8258
3540002,Pompéia,-22.107,-50.176
3540101,Pongaí,-21.7396,-49.3604
3540200,Pontal,-21.0216,-48.0423
3540259,Pontalinda,-20.4396,-50.5258
3540309,Pontes Gestal,-20.1727,-49.7064
3540408,Populina,-19.9453,-50.538
3540507,Porangaba,-23.1761,-48.1195
3540606,Porto Feliz,-23.2093,-47.5251
3540705,Porto Ferreira,-21.8498,-47.487
3540754,Potim,-22.8343,-45.2552
3540804,Potirendaba,-21.0428,-49.3815
3539806,Poá,-23.5333,-46.3473
3540853,Pracinha,-21.8496,-51.0868
3540903,Pradópolis,-21.3626,-48.0679
3541000,Praia Grande,-24.0084,-46.4121
3541059,Pratânia,-22.8112,-48.6636
3541109,Presidente Alves,-22.0999,-49.4381
3541208,Presidente Bernardes,-22.0082,-51.5565
3541307,Presidente Epitácio,-21.7651,-52.1111
3541406,Presidente Prudente,-22.1207,-51.3925
3541505,Presidente Venceslau,-21.8732,-51.8447
3541604,Promissão,-21.5356,-49.8599
3541653,Quadra,-23.2993,-48.0547
3541703,Quatá,-22.2456,-50.6966
3541802,Queiroz,-21.7969,-50.2415
3541901,Queluz,-22.5312,-44.7781
3542008,Quintana,-22.0692,-50.307
3542107,Rafard,-23.0105,-47.5318
3542206,Rancharia,-22.2269,-50.893
3542305,Redenção da Serra,-23.2638,-45.5422
3542404,Regente Feijó,-22.2181,-51.3055
3542503,Reginópolis,-21.8914,-49.2268
3542602,Registro,-24.4979,-47.8449
3542701,Restinga,-20.6056,-47.4833
3542800,Ribeira,-24.6517,-49.0044
3542909,Ribeirão Bonito,-22.0685,-48.182
3543006,Ribeirão Branco,-24.2206,-48.7635
3543105,Ribeirão Corrente,-20.4579,-47.5904
3543253,Ribeirão Grande,-24.1011,-48.3679
3543303,Ribeirão Pires,-23.7067,-46.4058
3543402,Ribeirão Preto,-21.1699,-47.8099
3543204,Ribeirão do Sul,-22.789,-49.933
3543238,Ribeirão dos Índios,-21.8382,-51.6103
3543600,Rifaina,-20.0803,-47.4291
3543709,Rincão,-21.5894,-48.0728
3543808,Rinópolis,-21.7284,-50.7239
3543907,Rio Claro,-22.3984,-47.5546
3544103,Rio Grande da Serra,-23.7437,-46.3971
3544004,Rio das Pedras,-22.8417,-47.6047
3544202,Riolândia,-19.9868,-49.6836
3543501,Riversul,-23.829,-49.429
3544251,Rosana,-22.5782,-53.0603
3544301,Roseira,-22.8938,-45.307
3544509,Rubinéia,-20.1759,-51.007
3544400,Rubiácea,-21.3006,-50.7296
3544608,Sabino,-21.4593,-49.5755
3544707,Sagres,-21.8823,-50.9594
3544806,Sales,-21.3427,-49.4897
3544905,Sales Oliveira,-20.7696,-47.8369
3545001,Salesópolis,-23.5288,-45.8465
3545100,Salmourão,-21.6267,-50.8614
3545159,Saltinho,-22.8442,-47.6754
3545209,Salto,-23.1996,-47.2931
3545407,Salto Grande,-22.8894,-49.9831
3545308,Salto de Pirapora,-23.6474,-47.5743
3545506,Sandovalina,-22.4551,-51.7648
3545605,Santa Adélia,-21.2427,-48.8063
3545704,Santa Albertina,-20.0311,-50.7297
3546009,Santa Branca,-23.3933,-45.8875
3545803,Santa Bárbara d'Oeste,-22.7553,-47.4143
3546108,Santa Clara d'Oeste,-20.09,-50.9491
